! radius
! arcsec   MEAN         MAG      MAGCORR  LUM
!===================================================
  326.00  1263.56726   22.0663   22.7355   21.2139
  327.00  1263.86487   22.0581   22.7272   21.3763
  328.00  1263.99915   22.0543   22.7235   21.4496
  329.00  1263.58838   22.0658   22.7349   21.2254
  330.00  1262.87878   22.0857   22.7549   20.8381
  331.00  1262.49377   22.0967   22.7659   20.6280
  332.00  1262.04187   22.1098   22.7789   20.3813
  333.00  1261.89124   22.1142   22.7833   20.2991
  334.00  1261.92749   22.1131   22.7823   20.3189
  335.00  1261.80188   22.1168   22.7859   20.2503
  336.00  1261.84595   22.1155   22.7846   20.2744
  337.00  1262.23633   22.1042   22.7733   20.4874
  338.00  1262.97742   22.0829   22.7521   20.8919
  339.00  1263.08386   22.0799   22.7490   20.9500
  340.00  1262.11865   22.1076   22.7767   20.4232
  341.00  1261.78845   22.1172   22.7863   20.2430
  342.00  1261.72815   22.1190   22.7881   20.2101
  343.00  1261.82080   22.1163   22.7854   20.2606
  344.00  1261.56091   22.1239   22.7930   20.1188
  345.00  1261.81250   22.1165   22.7856   20.2561
  346.00  1262.17249   22.1060   22.7751   20.4526
  347.00  1262.54114   22.0954   22.7645   20.6538
  348.00  1262.47729   22.0972   22.7663   20.6190
  349.00  1262.41370   22.0991   22.7682   20.5843
  350.00  1262.88306   22.0856   22.7547   20.8404
  351.00  1263.66724   22.0636   22.7327   21.2684
  352.00  1262.66272   22.0919   22.7610   20.7202
  353.00  1261.73389   22.1188   22.7879   20.2132
  354.00  1260.43433   22.1576   22.8267   19.5039
  355.00  1260.02490   22.1701   22.8392   19.2804
  356.00  1260.01050   22.1705   22.8397   19.2726
  357.00  1259.77612   22.1778   22.8469   19.1447
  358.00  1259.57959   22.1839   22.8530   19.0374
  359.00  1259.51843   22.1858   22.8549   19.0040
  360.00  1259.76758   22.1780   22.8471   19.1400
  361.00  1259.95300   22.1723   22.8414   19.2412
  362.00  1259.46582   22.1874   22.8565   18.9753
  363.00  1259.34290   22.1913   22.8604   18.9082
  364.00  1259.65393   22.1816   22.8507   19.0780
  365.00  1260.17395   22.1655   22.8346   19.3618
  366.00  1259.99597   22.1710   22.8401   19.2647
  367.00  1259.38354   22.1900   22.8591   18.9304
  368.00  1259.35522   22.1909   22.8600   18.9149
  369.00  1259.44568   22.1880   22.8572   18.9643
  370.00  1259.55627   22.1846   22.8537   19.0247
  371.00  1259.66370   22.1813   22.8504   19.0833
  372.00  1261.01440   22.1401   22.8092   19.8205
  373.00  1260.46851   22.1565   22.8257   19.5226
  374.00  1258.91711   22.2047   22.8738   18.6758
  375.00  1258.90674   22.2050   22.8741   18.6701
  376.00  1258.45459   22.2195   22.8886   18.4234
  377.00  1257.97729   22.2349   22.9040   18.1628
  378.00  1258.19263   22.2279   22.8970   18.2804
  379.00  1259.01526   22.2016   22.8707   18.7294
  380.00  1258.56458   22.2159   22.8850   18.4834
  381.00  1258.07166   22.2319   22.9010   18.2144
  382.00  1258.01343   22.2338   22.9029   18.1826
  383.00  1257.55615   22.2488   22.9179   17.9330
  384.00  1258.24829   22.2261   22.8952   18.3108
  385.00  1257.97363   22.2350   22.9042   18.1609
  386.00  1257.40027   22.2539   22.9230   17.8479
  387.00  1257.33215   22.2562   22.9253   17.8107
  388.00  1257.54407   22.2492   22.9183   17.9264
  389.00  1257.56677   22.2484   22.9175   17.9388
  390.00  1257.70728   22.2438   22.9129   18.0155
  391.00  1257.42688   22.2530   22.9221   17.8624
  392.00  1257.60742   22.2471   22.9162   17.9610
  393.00  1257.96558   22.2353   22.9044   18.1565
  394.00  1257.48853   22.2510   22.9201   17.8961
  395.00  1257.95508   22.2357   22.9048   18.1507
  396.00  1258.24805   22.2261   22.8952   18.3106
  397.00  1257.23450   22.2594   22.9285   17.7574
  398.00  1256.75623   22.2755   22.9446   17.4964
  399.00  1256.89282   22.2709   22.9400   17.5709
  400.00  1257.13928   22.2626   22.9317   17.7055
  401.00  1258.18762   22.2281   22.8972   18.2776
  402.00  1258.47461   22.2188   22.8879   18.4343
  403.00  1257.58655   22.2478   22.9169   17.9496
  404.00  1256.52405   22.2834   22.9525   17.3697
  405.00  1256.34802   22.2894   22.9585   17.2736
  406.00  1255.96704   22.3026   22.9717   17.0656
  407.00  1255.75256   22.3101   22.9792   16.9486
  408.00  1255.61206   22.3150   22.9841   16.8719
  409.00  1255.65283   22.3135   22.9827   16.8942
  410.00  1255.74158   22.3104   22.9796   16.9426
