"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
15.13,"","","",175.2487,21.2877,173.7268,34.3581,1.2951,0.9834,0.6465,0.5058
15.17,"","","",175.1848,21.7902,173.6067,35.2711,1.2951,0.9827,0.6465,0.5054
15.20,"","","",175.0614,22.3384,173.4818,36.2321,1.2950,0.9816,0.6464,0.5049
15.23,"","","",174.9426,22.9322,173.3328,37.3854,1.2956,0.9815,0.6468,0.5048
15.27,"","","",174.8330,23.6631,173.2079,38.5387,1.2952,0.9807,0.6466,0.5044
15.30,"","","",174.7097,24.5311,173.0733,39.6439,1.2950,0.9803,0.6464,0.5042
15.33,"","","",174.6640,25.3533,172.9292,40.8452,1.2946,0.9799,0.6462,0.5040
15.37,"","","",174.6640,26.0843,172.7754,42.1427,1.2947,0.9798,0.6463,0.5040
15.40,"","","",174.6503,26.8152,172.6456,43.5362,1.2945,0.9794,0.6462,0.5038
15.43,"","","",174.5681,27.5461,172.5159,44.9298,1.2939,0.9791,0.6459,0.5036
15.47,"","","",174.4767,28.2770,172.3525,46.4194,1.2936,0.9789,0.6457,0.5036
15.50,"","","",174.3853,28.9165,172.1891,47.9571,1.2931,0.9788,0.6455,0.5035
15.53,"","","",174.2803,29.6474,172.0498,49.4468,1.2929,0.9787,0.6454,0.5034
15.57,"","","",174.2209,30.3327,171.9200,50.9364,1.2924,0.9788,0.6452,0.5035
